10
2
305
-40 0
-40 -1
-40 -2
-40 -3
-40 -4
-40 -5
-40 -6
-40 -7
-40 -8
-40 -9
-39 0
-39 -1
-39 -2
-39 -3
-39 -4
-39 -5
-39 -6
-39 -7
-39 -8
-39 -9
-39 -10
-38 -2
-38 -3
-38 -4
-38 -5
-38 -6
-38 -7
-38 -8
-38 -9
-38 -10
-38 -11
-37 -8
-37 -9
-37 -10
-37 -11
-36 -9
-36 -10
-36 -11
-35 -9
-35 -10
-35 -11
-34 -7
-34 -8
-34 -9
-34 -10
-34 -11
-33 -5
-33 -6
-33 -7
-33 -8
-33 -9
-33 -10
-33 -11
-32 -7
-32 -8
-32 -9
-32 -10
-32 -11
-31 -9
-31 -10
-31 -11
-30 -9
-30 -10
-30 -11
-29 -8
-29 -9
-29 -10
-29 -11
-28 -2
-28 -3
-28 -4
-28 -5
-28 -6
-28 -7
-28 -8
-28 -9
-28 -10
-28 -11
-27 0
-27 -1
-27 -2
-27 -3
-27 -4
-27 -5
-27 -6
-27 -7
-27 -8
-27 -9
-27 -10
-26 0
-26 -1
-26 -2
-26 -3
-26 -4
-26 -5
-26 -6
-26 -7
-26 -8
-26 -9
-22 0
-22 -1
-22 -10
-22 -11
-21 0
-21 -1
-21 -2
-21 -9
-21 -10
-21 -11
-20 0
-20 -1
-20 -2
-20 -9
-20 -10
-20 -11
-19 0
-19 -1
-19 -2
-19 -3
-19 -4
-19 -5
-19 -6
-19 -7
-19 -8
-19 -9
-19 -10
-19 -11
-18 0
-18 -1
-18 -2
-18 -3
-18 -4
-18 -5
-18 -6
-18 -7
-18 -8
-18 -9
-18 -10
-18 -11
-17 0
-17 -1
-17 -2
-17 -3
-17 -4
-17 -5
-17 -6
-17 -7
-17 -8
-17 -9
-17 -10
-17 -11
-16 0
-16 -1
-16 -2
-16 -9
-16 -10
-16 -11
-15 0
-15 -1
-15 -2
-15 -9
-15 -10
-15 -11
-14 0
-14 -1
-14 -10
-14 -11
-11 0
-11 -1
-11 -2
-11 -3
-11 -4
-11 -5
-11 -6
-11 -7
-11 -8
-11 -9
-10 0
-10 -1
-10 -2
-10 -3
-10 -4
-10 -5
-10 -6
-10 -7
-10 -8
-10 -9
-10 -10
-9 0
-9 -1
-9 -2
-9 -3
-9 -4
-9 -5
-9 -6
-9 -7
-9 -8
-9 -9
-9 -10
-9 -11
-8 -1
-8 -2
-8 -3
-8 -4
-8 -5
-8 -6
-8 -7
-8 -8
-8 -9
-8 -10
-8 -11
-7 -8
-7 -9
-7 -10
-7 -11
-6 -8
-6 -9
-6 -10
-6 -11
-5 -8
-5 -9
-5 -10
-5 -11
-4 -8
-4 -9
-4 -10
-4 -11
-3 -9
-3 -10
-3 -11
2 0
2 -1
2 -2
2 -3
2 -4
2 -5
2 -6
2 -7
2 -8
2 -9
2 -10
3 0
3 -1
3 -2
3 -3
3 -4
3 -5
3 -6
3 -7
3 -8
3 -9
3 -10
3 -11
4 0
4 -1
4 -2
4 -3
4 -4
4 -5
4 -6
4 -7
4 -8
4 -9
4 -10
4 -11
5 0
5 -1
5 -2
5 -9
5 -10
5 -11
6 0
6 -1
6 -2
6 -9
6 -10
6 -11
7 -1
7 -2
7 -3
7 -8
7 -9
7 -10
8 -1
8 -2
8 -3
8 -8
8 -9
8 -10
9 -2
9 -3
9 -4
9 -7
9 -8
9 -9
10 -3
10 -4
10 -5
10 -6
10 -7
10 -8
11 -4
11 -5
11 -6
11 -7
100
14 -2
14 -3
14 -4
14 -5
14 -6
14 -9
14 -10
15 -1
15 -2
15 -3
15 -4
15 -5
15 -6
15 -9
15 -10
15 -11
16 -0
16 -1
16 -2
16 -3
16 -4
16 -5
16 -6
16 -9
16 -10
16 -11
17 -0
17 -1
17 -2
17 -5
17 -6
17 -9
17 -10
17 -11
18 -0
18 -1
18 -2
18 -5
18 -6
18 -9
18 -10
18 -11
19 -0
19 -1
19 -2
19 -5
19 -6
19 -7
19 -8
19 -9
19 -10
19 -11
20 -0
20 -1
20 -2
20 -5
20 -6
20 -7
20 -8
20 -9
20 -10
21 -1
21 -2
21 -5
21 -6
21 -7
21 -8
21 -9
24 -11
24 -10
24 -9
24 -8
24 -7
24 -6
24 -5
24 -4
24 -3
24 -2
25 0
25 -11
25 -10
25 -9
25 -8
25 -7
25 -6
25 -5
25 -4
25 -3
25 -2
26 -2
26 -3
26 -4
26 -5
26 -6
26 -7
26 -8
26 -9
26 -10
26 -11
-37 -8
-37 -9
-37 -10
-37 -11
-36 -9
-36 -10
-36 -11
-35 -9
-35 -10
-35 -11
-34 -7
-34 -8
-34 -9
-34 -10
-34 -11
-33 -5
-33 -6
-33 -7
-33 -8
-33 -9
-33 -10
-33 -11
-32 -7
-32 -8
-32 -9
-32 -10
-32 -11
-31 -9
-31 -10
-31 -11
-30 -9
-30 -10
-30 -11
-29 -8
-29 -9
-29 -10
-29 -11
-28 -2
-28 -3
-28 -4
-28 -5
-28 -6
-28 -7
-28 -8
-28 -9
-28 -10
-28 -11
-27 0
-27 -1
-27 -2
-27 -3
-27 -4
-27 -5
-27 -6
-27 -7
-27 -8
-27 -9
-27 -10
-26 0
-26 -1
-26 -2
-26 -3
-26 -4
-26 -5
-26 -6
-26 -7
-26 -8
-26 -9
